text_original,text_cleaned,sentiment,source
"3. Averaging Up  Strategi averaging up lebih dikenal dalam investasi saham. Di sini, kamu akan melakukan pembelian saham secara bertahap untuk memaksimalkan keuntungan. Contohnya, kamu punya saham Telkom (TLKM) sebanyak 100 lot di harga Rp2.900",3 averaging up strategi averaging up lebih dikenal dalam investasi saham di sini kamu akan melakukan pembelian saham secara bertahap untuk memaksimalkan keuntungan contohnya kamu punya saham telkom tlkm sebanyak 100 lot di harga rp2 900,Neutral,Twitter (IDSMSA)
"PT Telkom Indonesia (Persero) Tbk (TLKM) telah memublikasikan Laporan Keuangan Kuartal III 2023. Pendapatan TLKM tumbuh 2,17% dan Laba Bersih yang Dapat Diatribusikan Kepada Pemilik Entitas Induk meningkat 17,6% dibandingkan dengan Kuartal III 2022. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",pt telkom indonesia persero tbk tlkm telah memublikasikan laporan keuangan kuartal ii 2023 pendapatan tlkm tumbuh 2 17 dan laba bersih yang dapat diatribusikan kepada pemilik entitas induk meningkat 17 6 dibandingkan dengan kuartal ii 2022,Positive,Twitter (IDSMSA)
View GOTO SIDO TLKM PROPERTY KONSTRUKSI [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],view goto sido tlkm property konstruksi,Neutral,Twitter (IDSMSA)
"Telkom (TLKM) Sesuai Ekspektasi, Target Harga Saham Masih Tinggi - Investor Daily [URL]",telkom tlkm sesuai ekspektasi target harga saham masih tinggi - investor daily,Positive,Twitter (IDSMSA)
"Sebelum tahu [HASHTAG] saya sudah pernah beli emas di Toped dan saham BRIS, TLKM, dan ULVR di aplikasi Ajaib. Juga beli beberapa Kripto. Setelah pelajari Bitcoin, saya jual semuanya dan all in di [HASHTAG] Yang terpusat cenderung rungkad. Pelajari sebelum membeli.",sebelum tahu saya sudah pernah beli emas di toped dan saham bris tlkm dan ulvr di aplikasi ajaib juga beli beberapa kripto setelah pelajari bitcoin saya jual semuanya dan all in di yang terpusat cenderung rungkad pelajari sebelum membeli,Neutral,Twitter (IDSMSA)
[USERNAME] Lebih perih dari deviden trap sih ini 😂,lebih perih dari deviden trap sih ini,Negative,Twitter (IDSMSA)
"[HASHTAG] PT Telkom Indonesia Tbk (TLKM) membukukan laba sebesar Rp19,49 triliun (Rp196,84 per saham) pada Januari-Juni 2023, naik 17,6% jika dibandingkan pada periode sama 2022. [HASHTAG] [HASHTAG] [URL]",pt telkom indonesia tbk tlkm membukukan laba sebesar rp19 49 triliun rp196 84 per saham pada januari-juni 2023 naik 17 6 jika dibandingkan pada periode sama 2022,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] andai bpk beli BBRI atau TLKM.. baru belajar saham jgn langsung duit banyak apalagi beli warant nya... pelajari dulu...,andai bpk beli bbri atau tlkm baru belajar saham jangan langsung duit banyak apalagi beli warant nya pelajari dulu,Neutral,Twitter (IDSMSA)
[USERNAME] [USERNAME] Ada BBRI BBCA ASII TLKM kenapa malah pilih GOTO? Warrant pula 🥲,ada bbri bbca asii tlkm kenapa malah pilih goto warrant pula,Negative,Twitter (IDSMSA)
"Hari ini IHSG kena bantai, rasa - rasanya seperti bantaian Covid-19. Kalau lihat data RT, sekitar 580 saham anjlok, 174 saham naik, 237 saham stuck, dan 166 saham tidak bisa diperdagangkan. GOTO TLKM benar-benar menolong IHSG hari ini padahal biasanya mereka ini adalah beban",hari ini ihsg kena bantai rasa - rasanya seperti bantaian covid-19 kalau lihat data rt sekitar 580 saham anjlok 174 saham naik 237 saham stuck dan 166 saham tidak bisa diperdagangkan goto tlkm benar-benar menolong ihsg hari ini padahal biasanya mereka ini adalah beban,Negative,Twitter (IDSMSA)
"Saat BEI crash di awal covid 2020, IHSG jadi 4000an: saya bisa beli SIDO 300an, ICBP 7000an, SMSM 1000an, TLKM 2600an. Tapi ada juga yg tdk terlalu menguntungkan: PWON 370an, ACES 1400an (dua emiten ini kena dampak jangka panjang). Intinya saat bursa crash, tetap harus pilih2",saat bei crash di awal covid 2020 ihsg jadi 400an saya bisa beli sido 300an icbp 700an smsm 100an tlkm 2600an tapi ada juga yang tidak terlalu menguntungkan pwon 370an aces 1400an dua emiten ini kena dampak jangka panjang intinya saat bursa crash tetap harus pilih2,Neutral,Twitter (IDSMSA)
[USERNAME] Waaah keren banget. Bisa kali ya. Sisihan gaji bulan ini buat beli saham TLKM ajah. [HASHTAG],waah keren banget bisa kali ya sisihan gaji bulan ini buat beli saham tlkm ajah,Positive,Twitter (IDSMSA)
goodnews. ga nyesel nabung saham ini . go tlkm. [HASHTAG],goodnews ga nyesel nabung saham ini go tlkm,Positive,Twitter (IDSMSA)
"PT Telkom Indonesia Tbk (TLKM) membukukan laba sebesar Rp19,49 triliun (Rp196,84 per saham) pada Januari-Juni 2023, naik 17,6% jika dibandingkan pada periode sama 2022. [HASHTAG] [HASHTAG] [URL]",pt telkom indonesia tbk tlkm membukukan laba sebesar rp19 49 triliun rp196 84 per saham pada januari-juni 2023 naik 17 6 jika dibandingkan pada periode sama 2022,Positive,Twitter (IDSMSA)
"Transformasi Telkom Bukukan Pendapatan Rp111,2 Triliun dan Pertumbuhan Laba Bersih Hingga 17,6% [HASHTAG] PT Telkom Indonesia Tbk (TLKM) membukukan laba sebesar Rp19,49 triliun (Rp196,84 per saham) pada Januari-Juni 2023, naik 17,6% jika dibandingkan pada periode sama 2022. [URL]",transformasi telkom bukukan pendapatan rp11 2 triliun dan pertumbuhan laba bersih hingga 17 6 pt telkom indonesia tbk tlkm membukukan laba sebesar rp19 49 triliun rp196 84 per saham pada januari-juni 2023 naik 17 6 jika dibandingkan pada periode sama 2022,Positive,Twitter (IDSMSA)
"[HASHTAG] PT Telkom Indonesia Tbk (TLKM) membukukan laba sebesar Rp19,49 triliun (Rp196,84 per saham) pada Januari-Juni 2023, naik 17,6% jika dibandingkan pada periode sama 2022.",pt telkom indonesia tbk tlkm membukukan laba sebesar rp19 49 triliun rp196 84 per saham pada januari-juni 2023 naik 17 6 jika dibandingkan pada periode sama 2022,Positive,Twitter (IDSMSA)
"[USERNAME] Proff spil bandar tlkm dong, gak jelas banget mainnya",proff spil bandar tlkm dong tidak jelas banget mainnya,Negative,Twitter (IDSMSA)
"Rekomendasi Saham Hari Ini (1/11): Buy on Weakness ASRI, ELSA, ICBP, dan TLKM [URL]",rekomendasi saham hari ini 1 11 buy on weakness asri elsa icbp dan tlkm,Positive,Twitter (IDSMSA)
"[USERNAME] Kinerja yang sangat bagus [HASHTAG] Bahkan, saham TLKM pada penutupan perdagangan kemarin sempat menjadi salah satu movers IHSG.",kinerja yang sangat bagus bahkan saham tlkm pada penutupan perdagangan kemarin sempat menjadi salah satu movers ihsg,Positive,Twitter (IDSMSA)
wah udah lepas banyak saham ternyata tlkm di goto wkwk [URL],wah sudah lepas banyak saham ternyata tlkm di goto,Negative,Twitter (IDSMSA)
"IHSG Uji Level 6.908, Cek saham ASRI, ELSA, ICBP, TLKM [URL]",ihsg uji level 6 908 cek saham asri elsa icbp tlkm,Neutral,Twitter (IDSMSA)
[USERNAME] Tlkm gas,tlkm gas,Positive,Twitter (IDSMSA)
"[USERNAME] Tetep serok INDF, TLKM sama SIDO. ✌️",tetep serok indf tlkm sama sido,Positive,Twitter (IDSMSA)
[USERNAME] Minimal belajar dlu,minimal belajar dlu,Neutral,Twitter (IDSMSA)
"[USERNAME] Itu maksudnya pemilik Blackrock yang dari Israel, bukan Apple, meskipun entah ya sumbernya dari mana Blackrock memang memiliki saham di 3 perusahaan besar teknologi yakni Apple, Microsoft dan Amazon Mereka juga menanamkan saham di Indonesia, seperti di GOTO, TLKM, KLBF dll",itu maksudnya pemilik blackrock yang dari israel bukan apple meskipun entah ya sumbernya dari mana blackrock memang memiliki saham di 3 perusahaan besar teknologi yakni apple microsoft dan amazon mereka juga menanamkan saham di indonesia seperti di goto tlkm klbf dll,Neutral,Twitter (IDSMSA)
Rupiah melemah = outflow terus terjadi = aku kudu piye...🥺 Jangan lupa follow tiktok kita ya 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],rupiah melemah outflow terus terjadi aku kudu piye jangan lupa follow tiktok kita ya,Negative,Twitter (IDSMSA)
Prospek IHSG Saham ASII BBCA BBRI BBNI BMRI AMMN BREN MEDC META PGEO GOTO MARI PMMP TLKM Jelang FOMC Meeting Link full video 17 menit: [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG],prospek ihsg saham asii bbca bbri bbni bmri ammn bren medc meta pgeo goto mari pmmp tlkm jelang fomc meeting link full video 17 menit,Neutral,Twitter (IDSMSA)
[USERNAME] Ngapain di tlkm sampe segitu😭,ngapain di tlkm sampe segitu,Negative,Twitter (IDSMSA)
[USERNAME] Sabar dher itu analisi udah lama belom dpt pula harga beli tenang pasti nyungsep kok tlkm [URL],sabar dher itu analisi sudah lama belom dpt pula harga beli tenang pasti nyungsep kok tlkm,Negative,Twitter (IDSMSA)
"[USERNAME] Hold lah, perusahaannya baek baek aja, nanti jg rebound tp tlkm paling taun depan soalnya skrg Masih tahun pemilu bumn biasanya turun wkw",hold lah perusahaannya baek baek saja nanti jg rebound tp tlkm paling taun depan soalnya sekarang masih tahun pemilu bumn biasanya turun wkw,Positive,Twitter (IDSMSA)
"[USERNAME] Tungguin aja berharap impas dari dividen, BMRI sama TLKM bisa lah itu 3x dividen impas. Kalau antam agak sulit 🥹",tungguin saja berharap impas dari dividen bmri sama tlkm bisa lah itu 3x dividen impas kalau antam agak sulit,Positive,Twitter (IDSMSA)
"[USERNAME] Klo udah beli saham model BBRI, TLKM harusnya tinggal tidur aja der",kalau sudah beli saham model bbri tlkm harusnya tinggal tidur saja der,Positive,Twitter (IDSMSA)
"[USERNAME] Santai aja lah, tlkm punya proyek data center, kalo sya lumayan percaya sama proyek ini, meski long term sih",santai saja lah tlkm punya proyek data center kalau sya lumayan percaya sama proyek ini meski long term sih,Positive,Twitter (IDSMSA)
"[USERNAME] Untuk saham TLKM pun demikian Potensi mengalami koreksi yang cukup dalam bisa saja terjadi, harga paling Bagus untuk buy posisi ialah di harga 2540 Apa bila ada tanda-tanda reversal pattern baik candle stick pattern, maupun chart pattern 👍🏻 [URL]",untuk saham tlkm pun demikian potensi mengalami koreksi yang cukup dalam bisa saja terjadi harga paling bagus untuk buy posisi ialah di harga 2540 apa bila ada tanda-tanda reversal pattern baik candle stick pattern maupun chart pattern,Neutral,Twitter (IDSMSA)
Telkom Indonesia (TLKM) menegaskan belum memiliki rencana untuk melepas investasi di GoTo Gojek Tokopedia (GOTO) meski saham anjlok [URL],telkom indonesia tlkm menegaskan belum memiliki rencana untuk melepas investasi di goto gojek tokopedia goto meski saham anjlok,Neutral,Twitter (IDSMSA)
"[USERNAME] tlkm invest di goto, dan goto busuq",tlkm invest di goto dan goto busuq,Negative,Twitter (IDSMSA)
Berlanjutnya Aksi Jualan JP Morgan di Saham Telkom (TLKM) [URL],berlanjutnya aksi jualan jp morgan di saham telkom tlkm,Negative,Twitter (IDSMSA)
[USERNAME] [USERNAME] TLKM 1000 All in,tlkm 100 all in,Positive,Twitter (IDSMSA)
"Meneropong Potensi Saham BMRI, BBNI, TLKM dan HRTA hingga Akhir Tahun [URL]",meneropong potensi saham bmri bbni tlkm dan hrta hingga akhir tahun,Neutral,Twitter (IDSMSA)
"Stocks Pick : IHSG Rebound Jadi 6.806, Ini Trading Idea Saham INTP, MYOR, TLKM dan ASII [URL]",stocks pick ihsg rebound jadi 6 806 ini trading idea saham intp myor tlkm dan asii,Neutral,Twitter (IDSMSA)
"Jawabannya ya saham dengan bobot besar lainnya, seperti BBRI, BMRI, TLKM, ASII, AMRT (semuanya naik lumayan tuh) Namun dari tekanan IHSG beberapa hari terakhir akibat rupiah melemah drastis hingga kenaikan suku bunga, saya jadi penasaran kira-kira apa ya saham yang murah.",jawabannya ya saham dengan bobot besar lainnya seperti bbri bmri tlkm asii amrt semuanya naik lumayan tuh namun dari tekanan ihsg beberapa hari terakhir akibat rupiah melemah drastis hingga kenaikan suku bunga saya jadi penasaran kira-kira apa ya saham yang murah,Neutral,Twitter (IDSMSA)
"Net sell asing besar, Rupiah juga melemah… Raise cash atau belanja di saham enaknya? Jangan lupa follow terus kita👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",net sell asing besar rupiah juga melemah raise cash atau belanja di saham enaknya jangan lupa follow terus kita,Negative,Twitter (IDSMSA)
Perlambatan IHSG itu dipicu pergerakan saham big caps dengan bobot tinggi ke IHSG melemah sehingga jadi peluang untuk beli di harga rendah. Untuk riset selengkapnya bisa baca di sini: [URL] $IHSG $ASII $BBCA $TLKM,perlambatan ihsg itu dipicu pergerakan saham big caps dengan bobot tinggi ke ihsg melemah sehingga jadi peluang untuk beli di harga rendah untuk riset selengkapnya bisa baca di sini ihsg asii bbca tlkm,Positive,Twitter (IDSMSA)
[USERNAME] beli saham tlkm nder mayan dpt 1 lot lg turun juga plus ada sisa 430k ditabung buat keperluan lain yg lebih penting,beli saham tlkm nder mayan dpt 1 lot lg turun juga plus ada sisa 430k ditabung buat keperluan lain yang lebih penting,Positive,Twitter (IDSMSA)
"Saham TLKM cukup menarik karena, -terdapat inflow yang sangat dominan (akumulasi oleh pihak asing), namun harga juga tetap di maintain di suatu area strategi : bisa beli di area support dari trend sideways tersebut, buang jika harga break kebawah [URL]",saham tlkm cukup menarik karena -terdapat inflow yang sangat dominan akumulasi oleh pihak asing namun harga juga tetap di maintain di suatu area strategi bisa beli di area support dari trend sideways tersebut buang jika harga break kebawah,Positive,Twitter (IDSMSA)
"Saham BREN hingga MARI Erick Thohir Top Gainers Sepekan, TLKM &amp UNTR Laris Diburu Asing [URL]",saham bren hingga mari erick thohir top gainers sepekan tlkm amp untr laris diburu asing,Positive,Twitter (IDSMSA)
"IHSG Diramal Sideways Hari Ini, Saham TLKM, MAPI &amp INDF Masuk Radar [URL]",ihsg diramal sideways hari ini saham tlkm mapi amp indf masuk radar,Neutral,Twitter (IDSMSA)
View IHSG ASII BREN PGEO TLKM IMAS ITMG WIKA [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],view ihsg asii bren pgeo tlkm imas itmg wika,Neutral,Twitter (IDSMSA)
Shm! SELAMAT BREN!! Overtake BMRI TLKM ASII.. Fundamental? Apa itu fundamental? Ga jaman bosqu [URL] [URL],shm selamat bren overtake bmri tlkm asii fundamental apa itu fundamental ga jaman bosqu,Positive,Twitter (IDSMSA)
Kala BRI Danareksa dan Mirae Asset Sepakat Saham TLKM Kemurahan [URL],kala bri danareksa dan mirae asset sepakat saham tlkm kemurahan,Positive,Twitter (IDSMSA)
Prospek saham Telkom (TLKM) di tengah kabar merger dua emiten Telekomunikasi [URL],prospek saham telkom tlkm di tengah kabar merger dua emiten telekomunikasi,Neutral,Twitter (IDSMSA)
"Saham BREN Ngebut, Kapitalisasi Pasar Salip AMMN, TLKM, ASII, BBNI [URL]",saham bren ngebut kapitalisasi pasar salip ammn tlkm asii bbni,Positive,Twitter (IDSMSA)
"Analis Masih Rekomendasikan ‘Buy’ Saham TLKM, Prospek Cerah [URL]",analis masih rekomendasikan buy saham tlkm prospek cerah,Positive,Twitter (IDSMSA)
GOTO EFFECT! Saham GOTO mencapai target CTASaham di Rp 54-57 (link video live di IDX Channel 13 Oktober Menit ke 8: [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],goto effect saham goto mencapai target ctasaham di rp 54-57 link video live di idx channel 13 oktober menit ke 8,Positive,Twitter (IDSMSA)
"IHSG Hari ini Ditutup Turun, Saham TLKM, BBRI, GOTO hingga Astra Melemah [URL]",ihsg hari ini ditutup turun saham tlkm bbri goto hingga astra melemah,Negative,Twitter (IDSMSA)
"Saham GOTO Anjlok, ASII, TLKM, ARTO dkk Ikut Tertekan [URL]",saham goto anjlok asii tlkm arto dkk ikut tertekan,Negative,Twitter (IDSMSA)
Saham $BREN ARA lagi Market cap Rp 394 T sudah melewati $TLKM Rp 381 T Terusin dah sampai lewat $BBCA sekalian 😂 [URL],saham bren ara lagi market cap rp 394 t sudah melewati tlkm rp 381 t terusin dah sampai lewat bbca sekalian,Positive,Twitter (IDSMSA)
"[HASHTAG] di net sell asing dan juga William Tanuwijaya dari Tokped… Sobat [HASHTAG] serok, nyangkut atau liatin aja nih? 😮‍💨 Jangan lupa mampir 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",di net sell asing dan juga william tanuwijaya dari tokped sobat serok nyangkut atau liatin saja ini jangan lupa mampir,Negative,Twitter (IDSMSA)
"Investor Asing Borong Saham BBNI, TLKM, FILM saat IHSG Naik Sepekan [URL]",investor asing borong saham bbni tlkm film saat ihsg naik sepekan,Positive,Twitter (IDSMSA)
[USERNAME] $TLKM apa kabar? udah tp apa udah ada yg jadi tersangka? 🤣,tlkm apa kabar sudah tp apa sudah ada yang jadi tersangka,Negative,Twitter (IDSMSA)
akankah $BREN menyusul $TLKM $AMMN atau bahkan $BBCA sepuh top 1 market cap paling tinggi shm! 🤣🤣 [URL],akankah bren menyusul tlkm ammn atau bahkan bbca sepuh top 1 market cap paling tinggi shm,Positive,Twitter (IDSMSA)
Saham Barito Renewables (BREN) auto rejection atas (ARA) empat hari berturut-turut. Market cap BREN kini mendekati Telkom (TLKM). [URL],saham barito renewables bren auto rejection atas ara empat hari berturut-turut market cap bren kini mendekati telkom tlkm,Positive,Twitter (IDSMSA)
"IHSG Hari Ini Menguji Level 6.950, Cek Saham INKP, TLKM hingga DRMA [URL]",ihsg hari ini menguji level 6 950 cek saham inkp tlkm hingga drma,Neutral,Twitter (IDSMSA)
"Penguatan merespon Kenaikan saham TLKM setelah kuasa hukum TLKM, Juniver Girsang membantah tudingan keterlibatan direktur aktif perusahaan dalam penyusunan laporan fiktif terkait skandal korupsi PT Sigma Cipta Caraka (SCC)",penguatan merespon kenaikan saham tlkm setelah kuasa hukum tlkm juniver girsang membantah tudingan keterlibatan direktur aktif perusahaan dalam penyusunan laporan fiktif terkait skandal korupsi pt sigma cipta caraka scc,Positive,Twitter (IDSMSA)
"[USERNAME] [USERNAME] Di saat internet (FBB) kita plg lemot &amp rasio penetrasinya jg plg rendah dari 7 negara ASEAN, pemerintah sbg pemegang saham pengendali malah membiarkan TLKM pasang tarif kemahalan &amp ambil margin ketinggian. Konyol bgt ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME]",di saat internet fbb kita plg lemot amp rasio penetrasinya jg plg rendah dari 7 negara asean pemerintah sbg pemegang saham pengendali malah membiarkan tlkm pasang tarif kemahalan amp ambil margin ketinggian konyol banget,Negative,Twitter (IDSMSA)
"Bagaimana pengaruh pemilu terhadap pendapatan sektor telekomunikasi, emiten mana yang paling diuntungkan? Bagaimana prospek saham TLKM sebagai pemain utama pada sektor telekomunikasi di Indonesia? [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",bagaimana pengaruh pemilu terhadap pendapatan sektor telekomunikasi emiten mana yang paling diuntungkan bagaimana prospek saham tlkm sebagai pemain utama pada sektor telekomunikasi di indonesia,Neutral,Twitter (IDSMSA)
"Simak Rekomendasi Saham TLKM, BMRI, BRPT untuk Perdagangan Jumat (6/10) [URL]",simak rekomendasi saham tlkm bmri brpt untuk perdagangan jumat 6 10,Neutral,Twitter (IDSMSA)
"[USERNAME] BBCA, BBRI, ASII, TLKM udah aku pegang 6 taun. Yg 2 pertama melejit, yg 2 terakhir sampe hari ini masih boncos.",bbca bbri asii tlkm sudah aku pegang 6 taun yang 2 pertama melejit yang 2 terakhir sampe hari ini masih boncos,Neutral,Twitter (IDSMSA)
"IHSG Rebound ke 6.900 Berkat Efek Kejut Obligasi AS Mereda, Saham BBRI-TLKM Cuan [URL]",ihsg rebound ke 6 900 berkat efek kejut obligasi as mereda saham bbri-tlkm cuan,Positive,Twitter (IDSMSA)
"IHSG Dirediksi Menguat, Saham TLKM dan MEDC Masuk Rekomendasi - Katadata [URL]",ihsg dirediksi menguat saham tlkm dan medc masuk rekomendasi - katadata,Positive,Twitter (IDSMSA)
"Saham TLKM, PGAS, TBIG Direkomendasikan saat IHSG Sideways [URL]",saham tlkm pgas tbig direkomendasikan saat ihsg sideways,Positive,Twitter (IDSMSA)
"IHSG Dirediksi Menguat, Saham TLKM dan MEDC Masuk Rekomendasi [URL]",ihsg dirediksi menguat saham tlkm dan medc masuk rekomendasi,Positive,Twitter (IDSMSA)
"Ada Sinyal Telkom (TLKM) Lanjutkan Pertumbuhan, Harga Saham Masih Murah [URL]",ada sinyal telkom tlkm lanjutkan pertumbuhan harga saham masih murah,Positive,Twitter (IDSMSA)
BEDAH SAHAM: Menguji Strategi 'Five Bold Moves' Telkom Indonesia (TLKM) [URL],bedah saham menguji strategi five bold moves telkom indonesia tlkm,Neutral,Twitter (IDSMSA)
"Telkom (TLKM) menjalankan strateginya untuk memastikan pertumbuhan yang berkelanjutan. Sementara itu, harga saham TLKM dinilai masih murah. [URL]",telkom tlkm menjalankan strateginya untuk memastikan pertumbuhan yang berkelanjutan sementara itu harga saham tlkm dinilai masih murah,Positive,Twitter (IDSMSA)
"Meski IHSG Diprediksi Bearish, Saham BIRD, BRPT, TLKM Potensial [URL]",meski ihsg diprediksi bearish saham bird brpt tlkm potensial,Positive,Twitter (IDSMSA)
"10 Saham Paling Banyak Diborong Investor Asing, BBNI hingga TLKM [URL]",10 saham paling banyak diborong investor asing bbni hingga tlkm,Positive,Twitter (IDSMSA)
"Hingga akhir September ini harga $TLKM masih berkutat di 3700-an, tidak berbeda jauh dengan harga dua bulan sebelumnya. Apakah ini kesempatan baik untuk mengoleksi saham ini? [URL]",hingga akhir september ini harga tlkm masih berkutat di 3700-an tidak berbeda jauh dengan harga dua bulan sebelumnya apakah ini kesempatan baik untuk mengoleksi saham ini,Positive,Twitter (IDSMSA)
"[USERNAME] Kalau investasi, $TLKM cocok 👍 terlebih dia BUMN jadi-nya memang menarik sih. Good luck 🚀",kalau investasi tlkm cocok terlebih dia bumn jadi-nya memang menarik sih good luck,Positive,Twitter (IDSMSA)
[USERNAME] Tlkm oke sih tapi mending beli bank aj kayak bca atau bri dah kalau long term,tlkm oke sih tapi mending beli bank aj kayak bca atau bri dah kalau long term,Positive,Twitter (IDSMSA)
[USERNAME] $TLKM lah kalo antara 3 itu,tlkm lah kalau antara 3 itu,Positive,Twitter (IDSMSA)
[USERNAME] TLKM menurut aku,tlkm menurut aku,Positive,Twitter (IDSMSA)
[USERNAME] Diantara 3 itu yang bagus buat longterm TLKM.,diantara 3 itu yang bagus buat longterm tlkm,Positive,Twitter (IDSMSA)
"[USERNAME] parkir di TLKM aja kena cutloss pak gua, TLKM saham keong begitu 🤣",parkir di tlkm saja kena cutloss pak saya tlkm saham keong begitu,Negative,Twitter (IDSMSA)
"SHM! ACST JSMR TLKM, buat 5-6 tahun kedepan bagus gaa, itu 3 3 nya aku punya tapi cuman satu lot. dan aku masih pelajar, kalo ada rezeki mending buy yg mana ya atau ada rekomendasi lain?? mks",shm acst jsmr tlkm buat 5-6 tahun kedepan bagus gaa itu 3 3 nya aku punya tapi cuman satu lot dan aku masih pelajar kalau ada rezeki mending buy yang mana ya atau ada rekomendasi lain mks,Neutral,Twitter (IDSMSA)
Salah satunya ada kalian tidak dari ke 6 saham diatas? 👋 Konten saham lainnya 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],salah satunya ada kalian tidak dari ke 6 saham diatas konten saham lainnya,Neutral,Twitter (IDSMSA)
"Laju IHSG Fluktuatif, Saham TLKM Lesu pada Awal Sesi Perdagangan - Head Topics [URL]",laju ihsg fluktuatif saham tlkm lesu pada awal sesi perdagangan - head topics,Negative,Twitter (IDSMSA)
Yang mana saham jagoan kalian? 🏆 Kisah inspiratif 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],yang mana saham jagoan kalian kisah inspiratif,Neutral,Twitter (IDSMSA)
Asing masih borong [HASHTAG] kamu gimana? 😏 Mampir guys 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],asing masih borong kamu gimana mampir guys,Positive,Twitter (IDSMSA)
"IHSG Diprediksi Lanjut Menguat, Cek Saham AKRA, MDKA, PGEO &amp TLKM [URL]",ihsg diprediksi lanjut menguat cek saham akra mdka pgeo amp tlkm,Positive,Twitter (IDSMSA)
"Saham-Saham Favorit Investor Asing, AMMN, TLKM, BBCA Jawara [URL]",saham-saham favorit investor asing ammn tlkm bbca jawara,Positive,Twitter (IDSMSA)
"Investor asing akumulasi saham hingga mencatatkan ney buy Rp 309,76 miliar. Saham TLKM hingga JSMR paling diburu. [URL]",investor asing akumulasi saham hingga mencatatkan ney buy rp 309 76 miliar saham tlkm hingga jsmr paling diburu,Positive,Twitter (IDSMSA)
"Gw akan bersih-bersih portfolio saham, kecuali TLKM, KEEN, dan ARKO. Dua terakhir emiten renewable energy sesuai idealisme pribadi.",saya akan bersih-bersih portfolio saham kecuali tlkm keen dan arko dua terakhir emiten renewable energy sesuai idealisme pribadi,Positive,Twitter (IDSMSA)
"Kemarin IHSG melemah 0,67% ke 6936 dipimpin saham AMMN (-8%), BBRI dan TLKM (-1%).",kemarin ihsg melemah 0 67 ke 6936 dipimpin saham ammn -8 bbri dan tlkm -1,Negative,Twitter (IDSMSA)
